x,y,z,inclinacion,azimuth,mode,medida_daq
0.4,0.4,0.75,20,0,r_vertical,-4.20779
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.19759
0.4,0.4,0.75,20,0,r_vertical,-4.20351
0.4,0.4,0.75,20,0,r_vertical,-4.22391
0.4,0.4,0.75,20,0,r_vertical,-4.19627
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.19956
0.4,0.4,0.75,20,0,r_vertical,-4.20253
0.4,0.4,0.75,20,0,r_vertical,-4.20417
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.21733
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.21437
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.19956
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.21865
0.4,0.4,0.75,20,0,r_vertical,-4.19002
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.20384
0.4,0.4,0.75,20,0,r_vertical,-4.1966
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.17851
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.21009
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.20121
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.19924
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.20647
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.19134
0.4,0.4,0.75,20,0,r_vertical,-4.19298
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.1943
0.4,0.4,0.75,20,0,r_vertical,-4.20779
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.19298
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.20713
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.21996
0.4,0.4,0.75,20,0,r_vertical,-4.2147
0.4,0.4,0.75,20,0,r_vertical,-4.19924
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.21437
0.4,0.4,0.75,20,0,r_vertical,-4.21634
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.22753
0.4,0.4,0.75,20,0,r_vertical,-4.20713
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.19463
0.4,0.4,0.75,20,0,r_vertical,-4.21305
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.20746
0.4,0.4,0.75,20,0,r_vertical,-4.21634
0.4,0.4,0.75,20,0,r_vertical,-4.20746
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.20483
0.4,0.4,0.75,20,0,r_vertical,-4.19496
0.4,0.4,0.75,20,0,r_vertical,-4.22391
0.4,0.4,0.75,20,0,r_vertical,-4.20845
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.19726
0.4,0.4,0.75,20,0,r_vertical,-4.22128
0.4,0.4,0.75,20,0,r_vertical,-4.24826
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.22095
0.4,0.4,0.75,20,0,r_vertical,-4.19759
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.21799
0.4,0.4,0.75,20,0,r_vertical,-4.19759
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.20713
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.20384
0.4,0.4,0.75,20,0,r_vertical,-4.20187
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.23115
0.4,0.4,0.75,20,0,r_vertical,-4.20351
0.4,0.4,0.75,20,0,r_vertical,-4.21602
0.4,0.4,0.75,20,0,r_vertical,-4.20121
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.17752
0.4,0.4,0.75,20,0,r_vertical,-4.20779
0.4,0.4,0.75,20,0,r_vertical,-4.21963
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.22095
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.2068
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.20845
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.21865
0.4,0.4,0.75,20,0,r_vertical,-4.18575
0.4,0.4,0.75,20,0,r_vertical,-4.20384
0.4,0.4,0.75,20,0,r_vertical,-4.2226
0.4,0.4,0.75,20,0,r_vertical,-4.20088
0.4,0.4,0.75,20,0,r_vertical,-4.20384
0.4,0.4,0.75,20,0,r_vertical,-4.19562
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.21042
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.2022
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.21766
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.20253
0.4,0.4,0.75,20,0,r_vertical,-4.2022
0.4,0.4,0.75,20,0,r_vertical,-4.21667
0.4,0.4,0.75,20,0,r_vertical,-4.23642
0.4,0.4,0.75,20,0,r_vertical,-4.19364
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.21108
0.4,0.4,0.75,20,0,r_vertical,-4.21832
0.4,0.4,0.75,20,0,r_vertical,-4.21305
0.4,0.4,0.75,20,0,r_vertical,-4.2147
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.21766
0.4,0.4,0.75,20,0,r_vertical,-4.20483
0.4,0.4,0.75,20,0,r_vertical,-4.19956
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.21634
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.20318
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.21799
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.19463
0.4,0.4,0.75,20,0,r_vertical,-4.21865
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.19463
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.21865
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.20779
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.21437
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.22885
0.4,0.4,0.75,20,0,r_vertical,-4.23181
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.19956
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.21634
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.20187
0.4,0.4,0.75,20,0,r_vertical,-4.1966
0.4,0.4,0.75,20,0,r_vertical,-4.20253
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.20384
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.20088
0.4,0.4,0.75,20,0,r_vertical,-4.20483
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.22687
0.4,0.4,0.75,20,0,r_vertical,-4.2147
0.4,0.4,0.75,20,0,r_vertical,-4.19463
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.20417
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.20746
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.20417
0.4,0.4,0.75,20,0,r_vertical,-4.20088
0.4,0.4,0.75,20,0,r_vertical,-4.1966
0.4,0.4,0.75,20,0,r_vertical,-4.20647
0.4,0.4,0.75,20,0,r_vertical,-4.2022
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.18739
0.4,0.4,0.75,20,0,r_vertical,-4.18081
0.4,0.4,0.75,20,0,r_vertical,-4.19035
0.4,0.4,0.75,20,0,r_vertical,-4.20318
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.21766
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.20318
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.19956
0.4,0.4,0.75,20,0,r_vertical,-4.19726
0.4,0.4,0.75,20,0,r_vertical,-4.21042
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.2147
0.4,0.4,0.75,20,0,r_vertical,-4.21931
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.18673
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.20417
0.4,0.4,0.75,20,0,r_vertical,-4.20911
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.19233
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.19594
0.4,0.4,0.75,20,0,r_vertical,-4.19627
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.2147
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.21667
0.4,0.4,0.75,20,0,r_vertical,-4.18969
0.4,0.4,0.75,20,0,r_vertical,-4.2226
0.4,0.4,0.75,20,0,r_vertical,-4.16107
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.20121
0.4,0.4,0.75,20,0,r_vertical,-4.19858
0.4,0.4,0.75,20,0,r_vertical,-4.21733
0.4,0.4,0.75,20,0,r_vertical,-4.20647
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.20483
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.20318
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.20121
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.20911
0.4,0.4,0.75,20,0,r_vertical,-4.21305
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.22885
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.20845
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.20121
0.4,0.4,0.75,20,0,r_vertical,-4.20647
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.19594
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.21108
0.4,0.4,0.75,20,0,r_vertical,-4.1943
0.4,0.4,0.75,20,0,r_vertical,-4.22391
0.4,0.4,0.75,20,0,r_vertical,-4.21832
0.4,0.4,0.75,20,0,r_vertical,-4.18278
0.4,0.4,0.75,20,0,r_vertical,-4.19562
0.4,0.4,0.75,20,0,r_vertical,-4.21667
0.4,0.4,0.75,20,0,r_vertical,-4.18278
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.19726
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.21733
0.4,0.4,0.75,20,0,r_vertical,-4.2068
0.4,0.4,0.75,20,0,r_vertical,-4.19924
0.4,0.4,0.75,20,0,r_vertical,-4.21108
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.19759
0.4,0.4,0.75,20,0,r_vertical,-4.22687
0.4,0.4,0.75,20,0,r_vertical,-4.20417
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.21865
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.20746
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.20055
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.21108
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.20713
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.19858
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.22095
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.21108
0.4,0.4,0.75,20,0,r_vertical,-4.22325
0.4,0.4,0.75,20,0,r_vertical,-4.20911
0.4,0.4,0.75,20,0,r_vertical,-4.19956
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.20713
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.2147
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.20253
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.23049
0.4,0.4,0.75,20,0,r_vertical,-4.22128
0.4,0.4,0.75,20,0,r_vertical,-4.18871
0.4,0.4,0.75,20,0,r_vertical,-4.21305
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.20318
0.4,0.4,0.75,20,0,r_vertical,-4.19397
0.4,0.4,0.75,20,0,r_vertical,-4.21503
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.19858
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.25681
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.19035
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.18936
0.4,0.4,0.75,20,0,r_vertical,-4.1716
0.4,0.4,0.75,20,0,r_vertical,-4.21766
0.4,0.4,0.75,20,0,r_vertical,-4.19627
0.4,0.4,0.75,20,0,r_vertical,-4.20911
0.4,0.4,0.75,20,0,r_vertical,-4.20483
0.4,0.4,0.75,20,0,r_vertical,-4.19989
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.20779
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.21075
0.4,0.4,0.75,20,0,r_vertical,-4.20713
0.4,0.4,0.75,20,0,r_vertical,-4.19496
0.4,0.4,0.75,20,0,r_vertical,-4.20976
0.4,0.4,0.75,20,0,r_vertical,-4.18739
0.4,0.4,0.75,20,0,r_vertical,-4.20779
0.4,0.4,0.75,20,0,r_vertical,-4.20911
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.18048
0.4,0.4,0.75,20,0,r_vertical,-4.2578
0.4,0.4,0.75,20,0,r_vertical,-4.18443
0.4,0.4,0.75,20,0,r_vertical,-4.21437
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.19726
0.4,0.4,0.75,20,0,r_vertical,-4.19397
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.21305
0.4,0.4,0.75,20,0,r_vertical,-4.21931
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.20845
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.19562
0.4,0.4,0.75,20,0,r_vertical,-4.23247
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.2226
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.20483
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.19496
0.4,0.4,0.75,20,0,r_vertical,-4.21404
0.4,0.4,0.75,20,0,r_vertical,-4.21898
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.20549
0.4,0.4,0.75,20,0,r_vertical,-4.21042
0.4,0.4,0.75,20,0,r_vertical,-4.20812
0.4,0.4,0.75,20,0,r_vertical,-4.20614
0.4,0.4,0.75,20,0,r_vertical,-4.19101
0.4,0.4,0.75,20,0,r_vertical,-4.19496
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.18739
0.4,0.4,0.75,20,0,r_vertical,-4.22457
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.20121
0.4,0.4,0.75,20,0,r_vertical,-4.21207
0.4,0.4,0.75,20,0,r_vertical,-4.20647
0.4,0.4,0.75,20,0,r_vertical,-4.20417
0.4,0.4,0.75,20,0,r_vertical,-4.21009
0.4,0.4,0.75,20,0,r_vertical,-4.20351
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.20944
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.21305
0.4,0.4,0.75,20,0,r_vertical,-4.20878
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.20318
0.4,0.4,0.75,20,0,r_vertical,-4.21536
0.4,0.4,0.75,20,0,r_vertical,-4.1841
0.4,0.4,0.75,20,0,r_vertical,-4.21042
0.4,0.4,0.75,20,0,r_vertical,-4.19529
0.4,0.4,0.75,20,0,r_vertical,-4.21042
0.4,0.4,0.75,20,0,r_vertical,-4.21799
0.4,0.4,0.75,20,0,r_vertical,-4.2045
0.4,0.4,0.75,20,0,r_vertical,-4.20384
0.4,0.4,0.75,20,0,r_vertical,-4.21338
0.4,0.4,0.75,20,0,r_vertical,-4.21273
0.4,0.4,0.75,20,0,r_vertical,-4.19924
0.4,0.4,0.75,20,0,r_vertical,-4.2124
0.4,0.4,0.75,20,0,r_vertical,-4.21141
0.4,0.4,0.75,20,0,r_vertical,-4.20022
0.4,0.4,0.75,20,0,r_vertical,-4.19924
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.21174
0.4,0.4,0.75,20,0,r_vertical,-4.19825
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.24201
0.4,0.4,0.75,20,0,r_vertical,-4.20154
0.4,0.4,0.75,20,0,r_vertical,-4.20285
0.4,0.4,0.75,20,0,r_vertical,-4.217
0.4,0.4,0.75,20,0,r_vertical,-4.18245
0.4,0.4,0.75,20,0,r_vertical,-4.22095
0.4,0.4,0.75,20,0,r_vertical,-4.19068
0.4,0.4,0.75,20,0,r_vertical,-4.19891
0.4,0.4,0.75,20,0,r_vertical,-4.19726
0.4,0.4,0.75,20,0,r_vertical,-4.21437
0.4,0.4,0.75,20,0,r_vertical,-4.19463
0.4,0.4,0.75,20,0,r_vertical,-4.21371
0.4,0.4,0.75,20,0,r_vertical,-4.20845
0.4,0.4,0.75,20,0,r_vertical,-4.21569
0.4,0.4,0.75,20,0,r_vertical,-4.20516
0.4,0.4,0.75,20,0,r_vertical,-4.20582
0.4,0.4,0.75,20,0,r_vertical,-4.21305
